track_id,track_name,artists,year,years_active
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",[2025],1
440DONUaYDRuHmNKMJcz0R,✻H+3+ЯД✻7luCJIo0T6...,vyrval,[2024],1
47O5lXcK78Z3TIiGzuc18l,Mr. Sandman,The Chordettes,[2019],1
4BdkP4XroiuVvfRqyO68wc,Wii Shop - Instrumental,Iceboy Ben,[2019],1
47hDuWmh0PU9AARzs5vflv,Crush,Tessa Violet,[2019],1
47wq2z7KMHDRnoSMdZODUA,Something For Your M.I.N.D.,Superorganism,[2020],1
489AYiTB0ylShgV29tihMo,They Call Me Tiago (Her Name Is Margo),Tiagz,[2020],1
48lxT5qJF0yYyf2z4wB4xW,Pedro,"Jaxomy, Agatino Romero, Raffaella Carrà",[2025],1
49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,Modjo,[2020],1
4BP9DU5stL7YA9P2a1kS2U,Bounce When She Walk,"Ohboyprince, Mykfresh, GwallaGangSpec",[2023],1
4P7VFiaZb3xrXoqGwZXC3J,Lollipop,"Lil Wayne, Static Major",[2021],1
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,[2021],1
5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,Lizzo,[2019],1
4nK5YrxbMGZstTLbvj6Gxw,Supalonely,"BENEE, Gus Dapperton",[2020],1
4kO7mrAPfqIrsKwUOK5BFx,Midnight City,M83,[2019],1
4kRLRWnn5u9wO2wOKAAdEN,Automotivo Bibi Fogosa,"Bibi Babydoll, Dj Brunin XM, KZA Produções",[2024],1
4kTBakk3h2S678cajDcVTw,Latch,"Disclosure, Sam Smith",[2020],1
4l0HxP8wm5iWHqo9myvFsm,Deceptacon,Le Tigre,[2022],1
4lriIG2vNqwDWzOj2I9rtj,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Stromae, Pomme, Arcane",[2025],1
4mZ59jnHHvm3GR3oOwRwjA,Lost Soul,NBSPLV,[2024],1
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,Taylor Swift,[2025],1
4jTiyLlOJVJj3mCr7yfPQD,This Could Be Us,Rae Sremmurd,[2021],1
4qbEaaJ29p32GI8EWQmm6R,dumb dumb,mazie,[2022],1
4qq73N1TKocRaYGQS23b9u,Fake ID,"Riton, Kah-Lo",[2019],1
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,[2025],1
